CODE,LISTED.NAME,BOARD.LOT
981,SMIC,1000
982,IONE HOLDINGS,20000
983,SOCAM DEV,2000
984,AEON STORES,500
985,NETMIND FIN,8000
986,CH ENV ENERGY,20000
987,CH RENEW EN INV,2000
988,LOUDONG GN RES,3000
989,GROUND PPT,5000
990,THEME INT'L,10000
991,DATANG POWER,2000
992,LENOVO GROUP,2000
993,HUARONG INT FIN,1000
995,ANHUIEXPRESSWAY,2000
996,CARNIVAL GROUP,10000
997,CHINLINK INTL,10000
998,CITIC BANK,1000
999,I.T,2000
1000,BEIJING MEDIA,500
1001,HK SH ALLIANCE,2000
1002,V.S. INT'L,4000
1003,HUANXI MEDIA,10000
1004,C SMARTERENERGY,2000
1005,MATRIX HOLDINGS,2000
1006,CHANGSHOUHUA,1000
1007,DAQING DAIRY,1000
1008,BRILLIANT CIR,2000
1009,INT'L ENT,2000
1010,PACRAY INT'L,2000
1011,NT PHARMA,500
1013,WAI CHUN GROUP,2000
1019,CONVOY,6000
1020,SINOREF HLDGS,4000
1021,MIDAS HLDGS-S,1000
1022,FEIYU,1500
1023,SITOY GROUP,1000
1026,UNIVERSAL TECH,10000
1027,CHINA JICHENG,10000
1028,C.BANNER,1000
1029,IRC,2000
1030,FUTURE LAND,2000
1031,KINGSTON FIN,2000
1033,SINOPEC SSC,2000
1035,BBI LIFE SCI,1500
1036,VANKE PPT OVS,1000
1037,MAXNERVA TECH,2000
1038,CKI HOLDINGS,1000
1039,FORTUNET E-COMM,1000
1041,CH NEW ENGY PWR,10000
1043,COSLIGHT TECH,2000
1044,HENGAN INT'L,500
1045,APT SATELLITE,500
1046,UNIVERSE INT'L,5000
1047,NGAI HING HONG,2000
1048,NOVO GROUP,1000
1049,CELESTIAL ASIA,6000
1050,KARRIE INT'L,2000
1051,G-RESOURCES,3000
1052,YUEXIUTRANSPORT,2000
1053,CHONGQING IRON,2000
1055,CHINA SOUTH AIR,2000
1057,ZHEJIANG SHIBAO,2000
1058,GUANGDONG TANN,2000
1059,KANTONE HOLDING,3000
1060,ALI PICTURES,10000
1061,ESSEX BIO-TECH,1000
1063,SUNCORP TECH,10000
1064,ZHONG HUA INT'L,5000
1065,TIANJIN CAPITAL,2000
1066,WEIGAO GROUP,4000
1068,YURUN FOOD,1000
1069,CA LOW-CARBON,20000
1070,TCL MULTIMEDIA,2000
1071,HUADIAN POWER,2000
1072,DONGFANG ELEC,200
1073,CHINA AGROTECH,2000
1075,CAPINFO,6000
1076,IMPERIAL PAC,20000
1079,PINE TECH,2000
1080,SHENGLI PIPE,1500
1082,HK EDU INTL,8000
1083,TOWNGAS CHINA,1000
1085,HXTL,2000
1086,GOODBABY INTL,1000
1087,HL TECHNOLOGY,1000
1088,CHINA SHENHUA,500
1089,LEYOU TECH H,5000
1090,DA MING INT'L,2000
1091,CITIC DAMENG,1000
1093,CSPC PHARMA,2000
1094,C P PROCUREMENT,4000
1096,SINO ENERGY INT,2000
1097,I-CABLE COMM,1000
1098,ROAD KING INFRA,1000
1099,SINOPHARM,400
1100,MAINLAND HOLD,2000
1101,HUARONG ENERGY,2000
1102,ENVIRO ENERGY,2000
1103,DASHENG AGR FIN,8000
1104,APAC RESOURCES,20000
1105,SING TAO,2000
1106,SINO HAIJING,20000
1107,MODERN LAND,2000
1108,LUOYANG GLASS,2000
1109,CHINA RES LAND,2000
1110,KINGWORLD,4000
1111,CHONG HING BANK,1000
1112,BIOSTIME,500
1113,CK PROPERTY,500
1114,BRILLIANCE CHI,2000
1115,TIBET WATER,1000
1116,MAYER HOLDINGS,4000
1117,CH MODERN D,1000
1118,GOLIK HOLDINGS,10000
1120,ARTS OPTICAL,2000
1121,BAOFENGMODERN,2000
1122,QINGLING MOTORS,2000
1123,CHINA-HK PHOTO,2000
1124,COASTAL GL,2000
1125,LAI FUNG HOLD,20000
1126,DREAM INT'L,2000
1127,1010 PRINTING,4000
1128,WYNN MACAU,400
1129,WATER INDUSTRY,4000
1130,CHINA ENV RES,4000
1131,AGRITRADE RES,5000
1132,ORANGE SKY G H,5000
1133,HARBIN ELECTRIC,2000
1135,ASIA SATELLITE,500
1136,TCC INT'L HOLD,2000
1137,HKTV,1000
1138,CHINA SHIP DEV,2000
1139,VICTORY GROUP,16000
1141,SKYWAY SEC,10000
1142,SIBERIAN MINING,10000
1143,CH HCARE ENT,4000
1145,COURAGEMARINE,1000
1146,CH OUTFITTERS,2000
1148,POWER XINCHEN,1000
1149,ANXIN-CHINA,4000
1150,MILAN STATION,2000
1151,ELEC & ELTEK,500
1152,INFINITY FIN,2000
1155,CENTRON TELECOM,1000
1157,ZOOMLION,200
1159,JIMEI INT ENT,500
1161,WATER OASIS GP,2000
1163,DEJIN RES,10000
1164,CGN MINING,5000
1165,SFCE,2000
1166,SOLARTECH INT'L,20000
1168,SINOLINK HOLD,2000
1169,HAIER ELEC,1000
1170,KINGMAKER,2000
1171,YANZHOU COAL,2000
1172,MIDAS INT'L,20000
1173,VEEKO INT'L,20000
1174,PACIFIC ANDES,2000
1175,FU JI CATERING,10000
1176,ZHUGUANG HOLD,2000
1177,SINO BIOPHARM,1000
1178,VITOP GROUP,10000
1180,PARADISE ENT,4000
1181,TANG PALACE,2000
1182,SUCCESS DRAGON,10000
1184,S.A.S. DRAGON,2000
1185,CHINA ENERGINE,2000
1186,CHINA RAIL CONS,500
1187,HAN TANG INTL,2000
1188,HYBRID KINETIC,2000
1189,ROSEDALE HOTEL,10000
1190,BOLINA,2000
1191,YUESHOU ENV,20000
1192,TITAN PETROCHEM,20000
1193,CHINA RES GAS,2000
1194,C PRECIOUSMETAL,2000
1195,KINGWELL GROUP,4000
1196,REALORD GROUP,2000
1197,CHINA HENGSHI,2000
1198,ROYALE FURN,2000
1199,COSCO PACIFIC,2000
1200,MIDLAND HOLDING,2000
1201,TESSON HOLDINGS,3000
1202,CHENGDU PUTIAN,2000
1203,GUANGNAN (HOLD),2000
1205,CITIC RESOURCES,2000
1206,TECHNOVATOR,2000
1207,SRE GROUP,2000
1208,MMG,4000
1210,CHRISTINE,2000
1211,BYD COMPANY,500
1212,LIFESTYLE INT'L,500
1213,MOBICON GROUP,2000
1215,KAI YUAN HLDGS,20000
1218,EASYKNIT INT'L,1000
1219,TENWOW INT'L,1000
1220,ZHIDAO INT'L,30000
1221,SINO HOTELS,2000
1222,WANG ON GROUP,20000
1223,SYMPHONY HOLD,10000
1224,C C LAND,1000
1225,LERADO FIN,20000
1228,SUPERB SUMMIT,5000
1229,NAN NAN RES,2000
1230,YASHILI INT'L,1000
1231,NEWTON RES,2000
1232,GW TIANDI,2000
1233,TIMES PPT,1000
1234,CHINA LILANG,1000
1235,TRAVEL EXPERT,5000
1236,NATIONAL AGRI,2000
1237,MERRY GARDEN,10000
1238,POWERLONG,1000
1239,JIN BAO BAO H,20000
1240,CNQC INT'L,2500
1241,SHUANGHUA H,2000
1243,WANG ON PPT,4000
1245,NIRAKU,2000
1246,NGAISHUN HOLD,20000
1247,MIKO INTL,2000
1249,TONLY ELEC,1000
1250,BE CLEAN ENERGY,20000
1251,SPT ENERGY,2000
1252,CHINA TIANRUI,1000
1253,BROADGREENSTATE,4000
1255,S. CULTURE,2000
1258,CHINFMINING,1000
1259,CH CHILD CARE,1000
1260,WONDERFUL SKY,2000
1262,LABIXIAOXIN,1000
1263,PC PARTNER,2000
1265,TIANJINJINRAN,10000
1266,XIWANG STEEL,1000
1268,MEIDONG AUTO,2000
1269,FIRST CAP GP,2000
1270,LANGHAM-SS,500
1271,GRAND MING,1000
1273,HK FINANCE GP,4000
1277,KINETIC M&E,2000
1278,CHINANEWTOWN,2500
1280,HUIYIN SMARTCOM,2000
1281,LONG JI TAI HE,1000
1282,CHINA GOLDJOY,4000
1285,JIASHILI GP,1000
1288,ABC,1000
1289,SUNLIT SCI,500
1290,CHINA HUIRONG,2000
1292,CMA LOGISTICS,1000
1293,BAOXIN AUTO,500
1296,GUODIAN TECH,1000
1297,SINOSOFT TECH,2000
1298,TECHCOMP,1000
1299,AIA,200
1300,TRIGIANT,2000
1301,D&G TECH,2000
1302,LIFETECH SCI,2000
1303,HUILI RES,2000
1305,WAI CHI HOLD,1000
1308,SITC,1000
1310,HKBN,500
1312,ALLIED CEMENT,6000
1313,CHINARES CEMENT,2000
1314,TSUI WAH HLDG,2000
1315,VISION FAME,2000
1316,NEXTEER,1000
1317,MAPLELEAF EDU,2000
1318,GREENS HOLDINGS,2000
1319,OIWAHPAWN,8000
1321,CHINA NEWCITY,2000
1322,CW GROUP HOLD,500
1323,NEWTREE GROUP,2000
1326,PEGASUS ENT,8000
1327,TIME2U,2000
1328,INT'L ELITE,10000
1329,CAPITAL JUDA,2000
1330,DYNAGREEN ENV,1000
1332,CHINA OPTO,10000
1333,CHINA ZHONGWANG,400
1335,SHEEN TAI,2000
1336,NCI,100
1338,BAWANG GROUP,2000
1339,PICC GROUP,1000
1340,HUISHENG INTL,2000
1341,CLEAR LIFT,8000
1345,PIONEER PHARM,1000
1347,HUA HONG SEMI,1000
1348,QUALI-SMART,2000
1349,FUDANZHANGJIANG,1000
1353,NUOQI,1000
1355,LEGEND STRAT,2000
1358,PW MEDTECH,1000
1359,CHINA CINDA,1000
1360,MEGAEXPO HLDG,5000
1361,361 DEGREES,1000
1362,SIS MOBILE,4000
1363,CTEG,2000
1365,GREENLAND RD,1000
1366,JIANGNAN GP,2000
1367,HANBO ENT HLDGS,4000
1368,XTEP INT'L,500
1369,WUZHOU INT'L,2000
1370,HENGSHIMINING,1000
1371,CHINA LOTSYN,20000
1372,EXCEL DEV,2000
1373,IH RETAIL,1000
1375,CC SECURITIES,1000
1378,CHINAHONGQIAO,500
1380,CHI KINGSTONE,10000
1381,CANVEST ENV,1000
1382,PACIFICTEXTILES,1000
1383,SUNCENTURY GP,10000
1385,SHANGHAI FUDAN,2000
1386,WALKER GROUP,1000
1387,RENHE COMM,2000
1388,EMBRY HOLDINGS,1000
1389,MAJOR HLDGS,4000
1393,HIDILI INDUSTRY,1000
1395,ELL ENV,5000
1396,HYDOO INTL,2000
1397,BAGUIO GREEN,4000
1398,ICBC,1000
1399,SCUD GROUP,2000
1400,WANG TAI HLDG,5000
1415,COWELL,1000
1418,SINOMAX GROUP,2000
1419,HUMAN HEALTH,2000
1420,CHUAN HOLDING,4000
1421,KINGBO STRIKE,5000
1428,BRIGHT SMART,2000
1430,SUCHUANG GAS,2000
1431,YST DAIRY,1000
1432,CHINA SHENGMU,1000
1438,NIRVANA ASIA,1000
1439,CH PACK DEV,5000
1443,FULUM GP HLDG,2000
1446,HUNGFOOKTONG,2000
1447,SFK,2000
1448,FU SHOU YUAN,1000
1450,CENTURY SAGE,2000
1452,DENOX ENV,1000
1456,GUOLIAN SEC,500
1459,JUJIANG CONS,2000
1461,LUZHENG FUTURES,1000
1462,GOLD-FIN HLDG,4000
1466,MAN SANG JEWEL,2000
1468,UKF,10000
1469,GET NICE FIN,4000
1470,TIC TAC INT'L,4000
1476,HENGTOU SEC,1000
1478,Q TECH,1000
1480,YAN TAT GROUP,2000
1483,U BANQUET GP,2000
1486,C CHENG HLDGS,2000
1488,L&M HANDBAGS,2000
1492,ZHONGDI DAIRY,2000
1495,JIYIHOUSEHOLD,2000
1496,AP RENTALS,4000
1498,PURAPHARM,500
1499,LEAP HLDGS GP,10000
1500,INCON,5000
1508,CHINA RE,1000
1509,HARMONICARE,1000
1513,LIVZON PHARMA,100
1515,PHOENIXHEALTH,500
1520,RUNWAY GLOBAL,6000
1522,C CITYRAILTEC,4000
1527,TENGY ENV,200
1528,RS MACALLINE,200
1530,3SBIO,500
1532,CHINA PARTYTIME,3000
1533,ZHUANGYUAN PA,500
1538,ZHONG AO HOME,2000
1543,JOIN-SHARE,2000
1548,GENSCRIPT BIO,2000
1555,MIE HOLDINGS,2000
1556,CHINNEY KW,5000
1557,K.H. GP HLDGS,4000
1558,HEC PHARM,200
1561,MANFIELD CHEM,4000
1565,VIRSCEND EDU,1000
1566,CHINA ANIMATION,1000
1568,SUNDART HLDGS,2000
1570,WEIYE HOLDINGS,1000
1578,BANK OF TIANJIN,500
1585,YADEA,2000
1588,CHANJET,200
1599,UCD,1000
1600,TIAN LUN GAS,1500
1613,SYNERTONE,8000
1616,SILVERMAN HL,2000
1618,MCC,1000
1619,TIANHE CHEM,2000
1622,REDCO PPT,2000
1623,HILONG,1000
1626,JIA YAO HLDGS,2000
1628,YUZHOU PPT,1000
1636,CMRU,4000
1638,KAISA GROUP,1000
1639,AKM INDUSTRIAL,10000
1661,WISDOM SPORTS,1000
1662,YEE HOP HLDGS,4000
1663,S HARBOURHOLD,2000
1666,TONG REN TANG,1000
1668,CHINASOUTHCITY,2000
1669,GIC GROUP,2000
1673,HUAZHANG TECH,2000
1678,CREATIVE GLOBAL,2000
1680,MACAU LEGEND,1000
1681,CONSUN PHARMA,1000
1682,HIGHLIGHT IOT,4000
1683,LC GROUP,4000
1685,BOER POWER,1000
1689,HUAXIHOLDINGS,2000
1698,BOSHIWA INT'L,1000
1699,PUTIAN FOOD,4000
1700,SPRINGLAND,1000
1708,SAMPLE TECH,1000
1717,AUSNUTRIA,1000
1718,WAN KEI GROUP,5000
1728,ZHENGTONGAUTO,500
1733,WINSWAY-NEW,1000
1738,FS ANTHRACITE,2500
1766,CRRC,1000
1768,BRACELL,500
1771,SUNFONDA GP,1000
1776,GF SEC,200
1777,FANTASIA,1500
1778,COLOUR LIFE,1000
1786,CRCCE,500
1788,GUOTAI JUNAN I,1000
1798,DATANG RENEW,1000
1799,XINTE ENERGY,400
1800,CHINA COMM CONS,1000
1803,ASR LOGISTICS,2500
1808,ENTERPRISE DEV,2000
1811,CGN NEW ENERGY,2000
1812,CHENMING PAPER,500
1813,KWG PROPERTY,500
1816,CGN POWER,1000
1818,ZHAOJIN MINING,500
1819,FUGUINIAO,600
1822,HONGDA FIN,30000
1823,HUAYUEXPRESSWAY,2000
1828,DCH HOLDINGS,1000
1829,CMEC,1000
1830,PERFECT SHAPE,4000
1831,SHIFANG HLDG,1000
1833,INTIME,500
1836,STELLA HOLDINGS,500
1838,CHINAPROPERTIES,1000
1848,CALC,500
1856,ERNEST BOREL,1000
1858,CHUNLI MEDICAL,200
1862,JINGRUI HLDGS,1000
1863,CHI LONGEVITY,1000
1866,CHINA XLX FERT,1000
1868,NEO-NEON,2000
1878,SOUTHGOBI-S,50
1880,BELLE INT'L,1000
1882,HAITIAN INT'L,1000
1883,CITIC TELECOM,1000
1884,EPRINT GROUP,4000
1886,HUIYUAN JUICE,500
1888,KB LAMINATES,500
1889,WUYI PHARMA,2500
1893,SINOMA,1000
1898,CHINA COAL,1000
1899,XINGDA INT'L,1000
1900,CHINA ITS,1000
1908,C&D INTL GROUP,4000
1910,SAMSONITE,300
1913,PRADA,100
1918,SUNAC,1000
1919,CHINA COSCO,500
1928,SANDS CHINA LTD,400
1929,CHOW TAI FOOK,200
1938,CHU KONG PIPE,1000
1958,BAIC MOTOR,500
1963,BCQ,500
1966,CHINA SCE PPT,1000
1968,PEAK SPORT,1000
1970,IMAX CHINA,100
1972,SWIREPROPERTIES,200
1979,TEN PAO GROUP,4000
1980,TIANGE,1000
1982,NAMESON HLDGS,2000
1986,TSAKER CHEM,500
1988,MINSHENG BANK,500
1991,TA YANG GROUP,2000
1993,ASIARAY,500
1998,FLYKE INT'L,2000
1999,MAN WAH HLDGS,400
2000,SIM TECH,2000
2002,SUNSHINE PAPER,500
2005,SSY GROUP,2000
2006,JINJIANG HOTELS,2000
2007,COUNTRY GARDEN,1000
2008,PHOENIX TV,2000
2009,BBMG,1000
2010,REAL NUTRI,1000
2011,KEE,2000
2012,SUNSHINE OIL,500
2014,OZNER WATER,1000
2016,CZBANK,1000
2018,AAC TECH,500
2020,ANTA SPORTS,1000
2023,CHINA LUDAO,4000
2028,JOLIMARK,2000
2030,CABBEEN,1000
2033,TIME WATCH,2000
2038,FIH,1000
2039,CIMC,100
2066,SHENGJINGBANK,500
2068,CHALIECO,1000
2078,PANASIALUM,1000
2080,AUX INTL,2000
2083,NATURE HOME,1000
2086,ADVANCED CARD,8000
2088,XIWANG PROPERTY,2000
2098,ZALL GROUP,3000
2099,CHINAGOLDINTL,100
2100,BAIOO,2000
2111,BEST PACIFIC,2000
2112,CAA RESOURCES,2000
2118,TIAN SHAN DEV,2000
2120,KN HOSPITAL,100
2121,FIRST CHEM,1000
2123,GOLDEN SHIELD,4000
2128,CHINA LESSO,1000
2133,CH POLYMETAL,1000
2138,UM HEALTHCARE,1000
2168,YINGDE GASES,500
2178,PETRO-KING,1000
2183,LIFESTYLE PPT,2000
2186,LUYE PHARMA,500
2188,TITANS ENERGY,2000
2193,MAN KING HOLD,4000
2196,FOSUN PHARMA,500
2198,CHINA SANJIANG,1000
2199,REGINA MIRACLE,1000
2200,HOSA INT'L,2000
2202,CHINA VANKE,100
2208,GOLDWIND,200
2211,UNI HEALTH,1000
2212,FB MINING-NEW,20000
2213,YI HUA HLDG,2000
2218,ANDRE JUICE,500
2221,NEW CONCEPTS,4000
2222,NVC LIGHTING,1000
2223,CASABLANCA,2000
2226,HONWORLD GP,500
2228,CECEP COSTIN,3000
2229,CG DUNXIN,2000
2233,WESTCHINACEMENT,2000
2236,WISON ENGRG,1000
2238,GAC GROUP,2000
2239,SMIT,1000
2255,HAICHANG HLDG,1000
2268,YOUYUAN HLDGS,1000
2277,CHUN SING ENG,5000
2280,HC INTL,2000
2282,MGM CHINA,400
2283,TK GROUP HLDG,2000
2286,CHEN XING,1000
2288,RYKADAN CAPITAL,1000
2289,CHUANGMEIPHAR,500
2298,COSMO LADY,1000
2299,BILLION IND,2000
2300,AMVIG HOLDINGS,2000
2302,CNNC INT'L,1000
2303,HENGXING GOLD,2000
2307,KAM HING INT'L,2000
2308,EVOC,4000
2309,BIRMINGHAM INTL,2000
2310,FOREBASE INTL,2000
2313,SHENZHOU INTL,1000
2314,LEE & MAN PAPER,1000
2317,VEDAN INT'L,4000
2318,PING AN,500
2319,MENGNIU DAIRY,1000
2320,HOP FUNG GROUP,2000
2322,NOBLE CENTURY,8000
2323,TOPSEARCH INT'L,2000
2326,BEP INT'L HOLD,10000
2327,U-HOME HOLDINGS,6000
2328,PICC P&C,2000
2329,GUORUI PPT,1000
2330,CHINA UPTOWN,4000
2331,LI NING,500
2333,GREATWALL MOTOR,500
2336,HAILIANG INTL,10000
2338,WEICHAI POWER,1000
2339,BWI INT'L,4000
2340,SYNERGIS HOLD,4000
2341,ECOGREEN,2000
2342,COMBA,2000
2343,PACIFIC BASIN,1000
2345,SHANGHAI PRIME,2000
2348,DAWNRAYS PHARMA,4000
2349,CH CITY INFRA,4000
2355,BAOYE GROUP,2000
2356,DAHSING BANKING,400
2357,AVICHINA,1000
2358,JIU RONG HOLD,10000
2362,JINCHUAN INTL,1000
2366,SMI CULTURE,5000
2368,EAGLE NICE,2000
2369,COOLPAD GROUP,4000
2371,C CHUANGLIAN ED,4000
2378,PRU,500
2379,ZHONGTIAN INT'L,5000
2380,CHINA POWER,1000
2382,SUNNY OPTICAL,1000
2383,TOM GROUP,2000
2386,SINOPEC SEG,500
2388,BOC HONG KONG,500
2389,BJ ENT M&H,6000
2393,YESTAR INTL,2500
2398,GOOD FRIEND,2000
2399,FORDOO,1000
2468,TRONY SOLAR,1000
2488,LAUNCH TECH,500
2588,BOC AVIATION,100
2600,CHALCO,2000
2601,CPIC,200
2607,SH PHARMA,100
2608,SUNSHINE 100,1000
2618,TCL COMM,1000
2623,CH ZHONGSHENG,2000
2628,CHINA LIFE,1000
2638,HKELECTRIC-SS,500
2662,FITTEC,2000
2666,UNI MEDICAL,500
2668,PAK TAK INT'L,10000
2669,CHINA OVS PPT,5000
2678,TEXHONG TEXTILE,500
2686,AAG ENERGY,1000
2688,ENN ENERGY,2000
2689,ND PAPER,1000
2698,WEIQIAO TEXTILE,500
2699,XINMING CHINA,2000
2700,GREEN INTL HLDG,20000
2722,CHONGQING M&E,2000
2727,SH ELECTRIC,2000
2728,YUHUA ENERGY,4000
2738,HUAJIN INTL,2000
2768,JIAYUAN INTL,2000
2777,R&F PROPERTIES,400
2788,YORKEY OPTICAL,2000
2789,YUANDA CHINA,2000
2799,CHINA HUARONG,1000
2866,CSCL,1000
2868,BJ CAPITAL LAND,2000
2877,SHINEWAY PHARM,1000
2878,SOLOMON SYSTECH,2000
2880,DALIAN PORT,2000
2882,HKRH,4000
2883,CHINA OILFIELD,2000
2886,BINHAI INV,2000
2888,STANCHART,50
2889,NRI HOLDINGS,2000
2898,LONGRUN TEA,10000
2899,ZIJIN MINING,2000
2944,FB MINING-OLD,40000
2969,NGAISHUN HOLD,800
2973,WINSWAY-OLD,50
2974,NEPTUNE GP-OLD,1000
2975,IMAGI INT'L-OLD,1600
2978,REGENT PACIFIC,1000
2979,PETRO-KING RTS,1000
2980,CMMB VISION,4000
3300,CHINA GLASS,2000
3301,RONSHINECHINA,500
3303,JUTAL OIL SER,2000
3308,GOLDEN EAGLE,1000
3311,CHINA STATE CON,2000
3313,ARTGO HOLDINGS,1000
3315,GOLDPAC GROUP,1000
3318,CHINA FLAVORS,2000
3322,WIN HANVERKY,2000
3323,CNBM,2000
3326,PERFECT GROUP,3000
3328,BANKCOMM,1000
3330,LINGBAO GOLD,2000
3331,VINDA INT'L,1000
3332,SINOLIFE UTD,2000
3333,EVERGRANDE,1000
3335,DBA TELECOM,4000
3336,JU TENG INTL,2000
3337,ANTON OILFIELD,2000
3339,LONKING,1000
3344,ADDCHANCE,2000
3355,ASMC,2000
3360,FE HORIZON,1000
3363,ZHENGYE INT'L,2000
3366,OCT (ASIA),2000
3368,PARKSON GROUP,500
3369,QHD PORT,500
3377,SINO-OCEAN GP,500
3378,XIAMEN PORT,2000
3380,LOGAN PPT,2000
3382,TIANJINPORT DEV,2000
3383,AGILE PROPERTY,2000
3386,DONGPENG HLDG,1000
3389,HENGDELI,4000
3393,WASION GROUP,2000
3396,LEGENDHOLDING,100
3398,CHINA TING,2000
3399,YUEYUN TRANS,1000
3600,MODERN DENTAL,1000
3606,FUYAO GLASS,400
3608,YONGSHENG MAT,2500
3618,CQRC BANK,1000
3623,C SUCCESS FIN,2000
3626,HSSP INTL,2000
3628,RENHENG ENT,4000
3633,ZHONGYU GAS,2000
3636,POLY CULTURE,100
3638,GOLDENMARS,12000
3639,YIDA CHINA,2000
3663,XIEZHONG INTL,4000
3666,XIAO NAN GUO,2000
3668,CHINALCO-CMC,2000
3669,YONGDA AUTO,500
3678,HOLLY FUTURES,1000
3683,GREAT HARVEST,2500
3688,TOP SPRING,500
3698,HUISHANG BANK,1000
3699,WANDA COMM,100
3708,YAT SING HLDG,5000
3709,KORADIOR,1000
3737,ZHONGZHIPHARM,1000
3773,NNK,2000
3777,C FIBER OPTIC,2000
3778,CHINA WEAVING,4000
3788,CHINA HANKING,1000
3799,DALI FOODS,500
3800,GCL-POLY ENERGY,1000
3808,SINOTRUK,500
3813,POU SHENG INT'L,1000
3816,KFM KINGDOM,4000
3818,CHINA DONGXIANG,1000
3822,SAM WOO CONS,4000
3823,TECH PRO,2000
3828,MING FAI INT'L,1000
3833,XINXIN MINING,1000
3836,HARMONY AUTO,500
3838,CHINA STARCH,5000
3839,CT ENTERPRISE,500
3866,BQD,500
3868,QX PAPER,1000
3882,SKYLIGHT HLDG,1000
3883,CHINA AOYUAN,1000
3886,TOWN HEALTH,2000
3888,KINGSOFT,1000
3889,GLOBAL SWEET,2000
3898,CRRC TIMES ELEC,500
3899,CIMC ENRIC,2000
3900,GREENTOWN CHINA,500
3903,HANHUA FIN,2000
3908,CICC,400
3918,NAGACORP,2000
3933,UNITED LAB,2000
3939,WANGUO MINING,2000
3948,YITAI COAL,100
3963,RONGZHONG FIN,1000
3966,CH BAOFENG INTL,6000
3968,CM BANK,500
3969,CHINA CRSC,1000
3983,CHINA BLUECHEM,2000
3988,BANK OF CHINA,1000
3989,CAPITAL ENV,2000
3993,CMOC,3000
3996,CH ENERGY ENG,2000
3998,BOSIDENG,2000
3999,DACHAN FOOD,1000
4601,BOC 2014 PREF,20000
4603,ICBC USDPREF1,10000
4604,ICBC EURPREF1,10000
4605,BOCOM 15USDPREF,10000
4606,CCB 15USDPREF,10000
6030,CITIC SEC,500
6108,NEW RAY MEDIC,8000
6116,LA CHAPELLE,200
6118,AUSTAR,1000
6123,ON TIME LOG,2000
6128,EARTHASIA,2000
6133,VITAL MOBILE,1000
6136,KANGDA ENV,1000
6138,HARBIN BANK,1000
6139,JINMAO INV-SS,500
6161,TARGET INS,2000
6166,CHINA VAST,1000
6168,CHINA U-TON,5000
6183,CH GREENFRESH,1000
6188,BJ DIGITAL,500
6196,BANKOFZHENGZHOU,1000
6198,QINGDAO PORT,1000
6808,SUNART RETAIL,500
6818,CEB BANK,1000
6822,KING'S FLAIR,4000
6823,HKT-SS,1000
6826,HAOHAI BIOTEC,100
6828,BLUE SKY PWR,8000
6830,HUAZHONG IN-V,2000
6833,SINCO PHARMA,4000
6836,TIANYUN INT'L,2000
6837,HAITONG SEC,400
6838,WINOX,2000
6839,YUNNAN WATER,1000
6863,HUISHAN DAIRY,1000
6865,FLAT GLASS,1000
6866,ZUOLI M-FIN,2000
6868,TENFU,1000
6869,YOFC,500
6878,DIFFER GROUP,2000
6880,TEMPUS HOLD,2000
6881,CGS,500
6882,EGL HOLDINGS,2000
6886,HTSC,200
6888,FREETECH,1000
6889,DYNAM JAPAN,200
6893,HINSANG GROUP,2000
6896,GOLDEN THROAT,500
6898,CHINA ALUMCAN,2000
6899,OURGAME,1000
80737,HOPEWELL INFR-R,500
84602,ICBC CNHPREF1-R,10000
